int1,int2,int3,int4,int5,target_sum,subset_exists
15,11,29,21,20,38,0
9,17,8,25,25,41,0
16,29,9,27,6,10,0
18,19,6,4,23,56,0
25,3,18,3,6,2,0
14,17,13,12,27,68,0
13,21,6,29,15,81,0
7,25,1,4,29,23,0
17,7,27,3,30,2,0
20,2,16,28,20,6,0
1,21,3,11,29,37,0
14,21,23,21,21,54,0
2,20,4,25,27,1,0
9,10,19,23,2,47,0
8,5,14,16,10,7,0
6,7,25,11,19,57,1
5,13,18,11,24,59,0
11,17,9,5,9,3,0
17,1,15,26,6,15,1
8,3,9,3,9,9,1
10,8,10,12,26,46,1
2,25,1,13,24,26,1
1,26,7,26,19,41,0
21,24,2,20,7,5,0
2,8,20,1,18,45,0
27,26,6,22,11,42,0
7,19,18,5,7,24,1
1,14,9,2,5,29,1
26,19,17,26,6,24,0
5,24,15,5,17,51,1
22,9,4,7,19,29,1
11,3,4,12,15,3,1
23,25,20,28,14,95,0
28,19,7,28,24,65,0
8,23,1,24,5,18,0
13,12,7,14,26,42,0
6,9,25,6,15,7,0
26,16,18,29,13,91,0
19,25,13,28,25,89,0
9,19,1,18,4,28,1
6,17,8,23,7,26,0
4,20,13,1,15,14,1
29,20,1,22,8,30,1
20,17,6,9,10,42,1
6,17,1,6,25,22,0
21,20,1,25,17,58,1
20,10,23,27,19,57,1
13,21,21,6,24,4,0
21,12,7,18,21,63,0
19,6,29,12,23,85,0
27,6,29,27,9,4,0
30,3,18,7,3,20,0
10,12,2,6,2,1,0
23,19,28,29,29,109,1
23,28,4,19,11,15,1
26,28,4,18,7,62,0
10,16,28,26,8,34,1
8,22,1,21,9,55,0
25,6,1,25,13,21,0
7,25,29,4,14,31,0
18,21,21,22,13,45,0
22,9,9,28,9,1,0
29,20,1,26,3,25,0
22,13,12,12,9,24,1
10,18,27,30,5,35,1
21,2,11,3,12,39,0
6,10,9,2,10,28,1
20,8,24,13,3,11,1
19,1,11,7,16,39,0
1,26,5,17,18,48,1
12,29,22,26,14,23,0
4,27,25,17,4,68,0
2,1,8,24,4,22,0
13,26,29,19,15,53,0
10,25,11,17,12,67,0
12,11,10,16,15,22,1
5,23,30,29,12,66,0
6,7,26,29,2,18,0
16,17,15,19,23,64,0
15,9,17,4,23,68,1
12,23,18,27,5,74,0
4,6,1,3,28,35,1
29,9,30,28,4,13,1
19,8,21,4,7,19,1
9,18,26,3,23,32,1
7,25,18,15,4,43,1
22,4,8,15,8,32,0
21,1,29,30,11,6,0
24,5,22,22,5,47,0
28,2,18,28,28,102,1
15,28,21,3,18,1,0
23,2,3,23,4,39,0
19,3,18,28,21,87,0
4,1,17,15,5,5,1
30,20,13,18,12,26,0
10,17,28,19,11,61,0
11,3,3,16,27,52,0
14,26,17,24,25,92,1
25,7,29,10,13,61,1
22,30,15,6,4,61,0
20,15,9,11,29,64,1
11,27,25,12,21,89,0
14,24,2,13,17,47,0
29,6,14,24,21,53,1
11,20,10,18,24,22,0
12,26,17,19,2,50,1
10,20,1,4,12,40,0
6,11,8,28,22,19,1
16,26,16,14,4,23,0
2,1,16,3,11,9,0
20,22,8,26,17,83,0
25,23,6,12,2,5,0
10,15,18,30,3,68,0
23,22,12,13,22,43,0
1,17,24,3,9,28,1
26,18,17,17,4,73,0
13,4,16,2,24,19,1
7,5,3,9,16,29,0
5,20,2,7,3,16,0
4,6,13,23,12,8,0
15,23,23,12,6,11,0
23,11,10,13,9,4,0
2,8,21,18,24,1,0
19,4,18,5,17,30,0
17,5,30,4,19,40,1
4,20,20,22,12,35,0
12,25,15,11,17,22,0
3,29,11,2,21,33,0
26,17,15,25,14,14,1
17,29,10,7,24,72,0
12,1,27,30,14,50,0
9,25,26,24,18,94,0
18,22,28,22,15,69,0
28,30,23,26,4,1,0
2,11,4,13,14,12,0
14,13,9,17,10,55,0
18,22,15,27,22,80,0
22,13,9,17,17,13,1
15,14,19,7,12,51,0
4,8,16,16,26,46,1
26,19,24,17,2,10,0
13,3,13,22,2,35,1
18,8,29,5,15,41,1
26,19,21,23,23,65,1
9,16,10,24,26,50,1
16,30,24,10,1,1,1
17,12,7,22,24,48,1
5,6,26,15,28,11,1
21,30,14,19,26,41,0
10,17,12,24,27,22,1
20,12,30,3,26,36,0
21,24,7,24,10,73,0
10,18,14,8,30,64,0
11,28,29,25,25,25,1
5,18,12,24,5,24,1
13,12,13,26,20,74,0
30,27,21,14,19,62,1
10,5,22,17,4,12,0
23,2,25,25,3,32,0
29,18,11,9,27,10,0
26,5,19,19,7,68,0
4,10,23,30,14,56,0
11,13,14,28,9,50,1
9,7,25,16,18,62,0
16,29,1,8,15,47,0
28,25,5,30,6,45,0
12,21,6,30,5,29,0
20,23,10,21,28,99,0
3,14,17,22,8,30,1
20,26,3,20,11,55,0
30,30,13,19,9,85,0
15,21,28,21,27,23,0
10,10,16,29,1,36,1
11,11,6,24,10,50,0
26,25,24,6,27,29,0
20,13,25,25,21,25,1
14,27,8,30,24,95,1
26,9,19,13,14,7,0
18,14,25,12,17,36,0
25,23,7,27,1,10,0
8,4,22,21,20,35,0
6,5,27,26,6,48,0
29,15,29,22,20,46,0
6,12,5,22,10,54,0
5,13,23,28,14,40,0
5,27,19,4,27,13,0
2,12,20,5,11,18,1
6,20,11,26,25,77,1
4,9,1,30,11,9,1
1,13,24,24,19,13,1
8,29,12,21,16,73,0
30,5,16,13,2,26,0
16,8,8,26,11,60,0
17,10,1,29,25,55,1
15,24,19,13,10,28,1
8,11,24,13,15,57,0
4,18,27,10,26,71,1
27,18,12,21,24,23,0
27,2,22,1,12,50,1
20,2,30,12,12,25,0
29,10,19,30,6,92,0
22,16,24,27,11,70,0
29,24,2,17,20,64,0
23,13,6,7,16,35,1
24,26,16,10,11,56,0
28,29,27,7,13,7,1
4,28,8,23,19,79,0
23,9,28,22,29,34,0
30,21,23,20,4,10,0
20,16,25,16,23,36,1
9,24,6,17,20,16,0
14,9,14,28,9,43,0
18,11,14,12,13,30,1
27,16,19,16,30,62,1
8,11,6,15,25,26,1
3,18,24,10,24,79,1
30,21,19,24,6,77,0
24,6,28,25,11,78,0
11,20,6,27,2,44,1
5,19,11,30,29,72,0
11,5,29,25,2,42,1
11,26,19,14,9,52,0
21,19,25,2,12,25,1
12,14,8,23,23,23,1
24,18,10,1,8,48,0
13,8,14,2,11,16,1
4,1,18,30,2,30,1
5,18,5,16,12,10,1
15,22,9,20,13,48,1
8,17,26,1,2,15,0
2,7,8,23,23,23,1
25,6,13,23,26,81,0
29,21,24,7,7,32,0
30,3,20,15,1,54,1
16,19,15,25,3,4,0
30,25,2,21,25,88,0
10,4,28,26,27,18,0
9,29,13,15,25,90,0
27,12,21,18,16,93,0
1,12,5,25,13,56,1
13,16,2,28,15,18,1
15,6,25,26,27,27,1
21,13,5,22,14,45,0
2,11,21,6,2,21,1
13,30,25,10,22,57,1
22,1,8,4,25,30,1
4,25,13,9,23,53,0
19,6,4,10,10,9,0
15,12,1,12,21,18,0
25,16,16,22,7,81,0
17,21,7,11,5,49,1
23,23,18,3,4,3,1
11,19,17,13,25,42,1
24,2,5,9,6,21,0
17,16,3,15,21,46,0
9,19,30,23,9,61,0
6,24,18,10,27,29,0
10,6,7,27,30,38,0
9,18,15,19,21,67,1
30,24,11,3,29,90,0
8,29,19,19,15,64,0
19,22,13,2,6,6,1
3,19,28,26,27,24,0
20,2,1,2,20,26,0
23,28,4,21,24,51,1
11,1,21,4,19,54,0
11,26,21,10,6,26,1
29,27,14,12,20,68,1
15,11,21,5,19,49,0
2,23,23,22,8,21,0
10,18,1,9,6,25,1
17,13,6,23,22,58,1
13,3,16,4,23,49,0
13,23,1,30,25,56,1
13,19,30,21,15,28,1
3,6,2,15,3,4,0
11,3,3,9,23,2,0
9,8,12,27,21,8,1
16,19,27,9,22,12,0
24,3,14,24,17,56,0
27,24,7,4,22,29,1
21,6,28,26,15,59,0
26,2,16,5,24,73,1
11,10,19,22,7,22,1
2,9,6,18,5,7,1
27,13,22,15,29,15,1
4,9,11,30,19,73,1
14,29,29,13,6,9,0
3,2,8,24,21,48,1
15,24,20,26,23,61,1
22,21,21,17,14,32,0
19,25,12,6,24,73,0
14,17,25,22,9,86,0
27,29,2,3,6,23,0
21,22,26,30,17,50,0
17,17,16,9,23,58,0
17,10,14,1,6,3,0
7,14,27,20,1,2,0
22,10,27,18,1,46,1
15,10,1,22,12,39,0
13,10,14,14,12,19,0
14,28,11,16,7,7,1
27,4,30,2,1,11,0
2,14,24,9,14,27,0
18,29,29,2,20,70,0
7,6,7,6,24,9,0
11,30,18,10,16,1,0
28,11,6,17,30,37,0
17,6,25,15,24,34,0
2,3,18,3,29,43,0
21,23,4,20,17,85,1
15,6,24,17,12,22,0
3,28,28,11,18,46,1
7,28,9,22,15,19,0
7,25,29,9,25,37,0
1,26,3,24,6,28,1
13,26,20,18,17,83,0
23,19,16,19,20,27,0
8,2,5,14,15,6,0
12,18,27,9,17,55,0
28,21,8,6,18,43,0
26,6,2,19,29,45,1
3,10,25,16,13,17,0
29,15,18,26,18,1,0
18,30,10,22,26,29,0
27,6,10,3,28,43,1
27,11,25,15,17,18,0
14,30,23,28,12,30,1
1,1,10,28,30,57,0
24,22,9,15,23,80,0
1,1,11,21,22,31,0
16,7,15,5,13,14,0
21,17,3,1,12,28,0
6,4,26,11,24,10,1
19,29,24,18,23,88,0
22,1,10,24,2,34,1
25,21,14,17,12,69,0
9,16,30,17,16,59,0
27,9,22,9,14,13,0
10,16,29,26,30,30,1
15,9,26,18,7,10,0
21,17,10,3,9,21,1
18,24,3,13,8,36,0
9,13,16,5,19,6,0
18,11,4,9,3,17,0
10,28,11,16,16,64,0
23,11,21,22,21,55,1
26,20,19,14,3,21,0
19,13,15,4,20,18,0
28,20,3,8,25,46,0
23,4,26,13,23,53,1
15,22,26,15,5,10,0
17,10,21,7,5,7,1
6,1,4,13,25,4,1
5,4,23,15,23,69,0
24,13,27,7,2,42,1
22,7,21,15,28,26,0
18,30,17,6,24,3,0
13,11,15,4,14,27,1
14,4,9,30,8,25,0
15,3,15,6,19,27,0
26,24,26,25,15,69,0
3,25,14,28,13,74,0
8,14,5,3,24,9,0
29,27,29,20,17,32,0
15,22,7,29,18,88,0
19,30,22,16,17,45,0
8,26,12,8,1,55,1
20,13,4,6,5,34,0
16,30,13,30,11,18,0
5,23,27,10,12,14,0
18,10,11,20,1,26,0
2,6,11,25,25,56,1
16,21,22,20,26,47,1
22,4,23,6,13,62,1
16,29,29,15,18,71,0
2,30,9,11,24,43,1
4,3,26,25,21,32,1
4,29,23,30,30,111,0
1,1,2,7,25,12,0
24,13,10,26,27,16,0
27,14,8,25,9,76,0
8,24,26,14,15,51,0
16,16,8,21,30,40,1
4,9,9,4,27,2,0
4,2,12,12,5,26,1
18,29,2,9,12,62,0
20,17,30,1,14,62,1
19,5,28,15,22,25,0
5,2,29,4,22,49,0
19,26,18,12,2,47,1
14,21,9,10,12,14,1
18,24,16,1,18,41,1
16,11,9,26,20,4,0
20,5,29,17,10,34,1
4,29,29,5,2,19,0
29,7,2,27,6,16,0
8,29,4,26,16,57,1
6,22,23,20,11,52,0
16,11,15,17,28,82,0
19,13,12,25,26,80,0
17,19,4,15,16,46,0
30,14,2,8,8,61,0
20,26,8,25,10,66,0
3,2,11,9,6,3,1
21,12,16,5,4,23,0
1,21,18,29,4,4,1
1,16,12,23,22,44,0
22,8,22,7,13,1,0
17,2,26,3,1,27,1
5,18,4,1,6,23,1
25,4,15,23,27,36,0
17,17,25,27,5,51,0
22,8,28,26,14,78,0
26,20,27,22,3,78,1
5,8,30,12,12,33,0
9,6,26,6,29,46,0
24,19,22,3,7,75,1
24,11,3,30,18,81,0
3,28,13,29,5,62,1
22,27,2,17,20,24,1
29,5,15,11,9,38,1
8,10,10,12,27,58,0
29,23,8,25,8,41,1
3,25,24,14,19,25,1
27,3,18,10,21,31,1
3,30,15,18,14,12,0
11,20,23,18,3,8,0
30,9,30,9,17,44,0
5,30,5,13,23,64,0
28,2,6,15,6,56,0
2,13,18,26,10,1,0
19,10,24,16,3,58,0
12,15,23,7,24,43,1
17,22,29,19,4,53,0
24,6,30,28,8,92,0
4,14,14,5,14,29,0
3,1,23,25,22,26,1
13,15,10,12,5,19,0
25,30,20,14,13,33,1
8,28,13,7,23,42,0
18,2,4,19,2,18,1
8,3,15,17,1,37,0
13,25,22,29,19,20,0
13,6,18,8,20,65,1
17,1,12,6,7,10,0
3,22,27,29,16,60,0
17,1,22,13,13,28,0
26,27,3,3,10,26,1
19,30,26,2,4,69,0
16,28,26,25,13,37,0
26,4,9,12,6,16,1
7,27,16,19,23,50,1
19,4,12,17,9,12,1
10,21,12,6,19,49,1
1,14,20,15,1,38,0
16,6,28,9,27,41,0
1,16,20,6,20,14,0
23,9,10,13,24,40,0
15,1,30,6,30,76,1
3,11,10,17,14,30,1
11,30,21,7,14,49,0
6,23,24,19,5,23,1
2,22,30,16,2,36,0
15,1,5,9,29,58,1
30,21,16,3,3,68,0
22,19,13,25,26,63,0
11,23,6,11,24,14,0
17,5,14,15,26,49,0
13,21,24,4,21,78,0
5,4,15,18,14,1,0
14,23,30,12,26,88,0
7,13,6,7,30,13,1
12,11,15,27,28,92,0
4,15,25,9,16,68,0
23,23,29,1,27,74,1
4,30,23,23,30,35,0
11,5,1,25,25,8,0
6,3,22,19,29,63,0
29,1,20,6,6,42,1
22,22,23,24,14,44,1
19,18,1,21,3,61,1
18,8,20,14,25,55,0
22,4,20,1,13,1,1
9,30,18,22,30,21,0
24,3,28,18,25,23,0
24,22,13,30,18,96,0
6,17,13,29,26,27,0
10,27,25,23,8,42,0
25,30,7,26,19,25,1
23,12,26,10,3,40,0
6,3,7,11,13,8,0
4,11,3,7,26,2,0
11,13,21,7,11,27,0
4,18,27,3,27,56,0
23,14,27,8,5,62,0
17,14,28,7,14,40,0
6,15,25,19,27,65,1
29,15,3,22,7,52,0
6,27,23,12,29,58,1
15,14,27,18,18,66,0
25,10,16,26,23,4,0
27,23,14,5,13,50,1
28,27,2,2,8,6,0
4,28,4,11,23,18,0
18,19,18,8,18,5,0
29,14,27,10,30,99,0
21,9,16,20,11,73,0
9,3,25,25,14,44,0
14,23,23,13,14,82,0
3,23,25,15,20,9,0
13,10,26,6,25,69,0
27,28,26,18,6,5,0
10,27,4,19,1,43,0
7,12,13,11,24,5,0
25,10,8,8,1,18,1
6,19,5,12,9,9,1
8,13,6,19,8,45,0
14,27,14,25,25,37,0
1,27,23,11,13,19,0
18,26,28,10,27,44,1
4,22,14,26,5,2,0
6,14,25,24,5,60,1
3,1,16,9,20,10,1
15,5,18,10,5,36,0
30,9,8,7,4,31,0
22,28,24,15,21,102,0
10,25,30,16,20,29,0
20,21,25,11,9,44,0
21,30,29,30,15,43,0
8,19,17,11,27,41,0
8,19,1,27,26,15,0
7,21,24,12,20,18,0
22,26,17,5,11,14,0
22,3,20,25,7,45,1
17,11,20,30,20,52,0
19,16,17,2,30,64,0
25,11,12,2,17,66,0
12,2,23,20,12,53,0
26,15,28,22,14,82,0
12,21,28,24,2,51,1
3,26,22,17,7,37,0
19,8,28,1,19,60,0
20,18,4,21,19,57,1
30,30,19,10,11,23,0
30,29,15,29,3,78,0
3,23,23,28,23,95,0
24,30,20,17,28,56,0
22,29,17,22,22,2,0
3,21,21,18,1,47,0
28,5,10,21,7,29,0
27,22,16,14,29,80,0
8,29,1,18,29,64,0
24,23,30,19,19,58,0
22,10,29,9,4,62,0
5,5,26,20,22,24,0
2,26,19,5,25,27,1
16,19,9,20,4,11,0
5,30,9,22,20,74,0
6,12,18,17,23,14,0
14,19,27,12,19,80,0
20,13,10,8,19,55,0
29,26,2,12,29,83,0
20,15,13,4,3,11,0
14,5,26,1,8,15,1
5,30,14,18,26,4,0
24,28,11,20,8,60,1
24,28,11,8,6,31,0
26,13,11,15,19,20,0
2,5,23,17,14,53,0
8,26,28,20,6,5,0
9,23,10,9,25,7,0
30,13,6,12,8,29,0
7,3,22,28,5,22,1
5,16,14,29,9,68,1
6,1,4,26,18,46,0
30,13,23,18,18,15,0
26,7,22,16,21,16,1
29,4,9,9,24,63,0
21,28,1,9,25,78,0
18,16,9,15,12,51,0
17,25,10,1,21,43,1
13,9,23,9,22,56,0
28,28,15,2,30,47,1
25,26,10,29,2,33,0
30,10,22,29,2,7,0
6,11,12,13,16,23,1
20,8,26,30,11,52,0
10,26,17,27,23,80,1
2,12,11,11,12,46,1
5,4,14,22,7,46,0
13,19,16,20,21,48,1
26,22,18,8,8,62,0
30,16,2,11,10,24,0
6,7,28,5,28,7,1
22,25,23,29,16,102,0
6,28,4,4,18,58,0
12,2,3,14,6,34,1
17,12,10,25,30,93,0
5,11,2,23,18,20,1
21,17,13,16,27,19,0
17,7,16,13,26,15,0
26,10,7,2,22,43,1
14,1,26,21,3,48,1
29,17,8,23,15,78,0
26,19,23,4,23,88,0
11,7,10,29,15,48,0
2,29,22,28,21,81,1
23,10,2,20,17,8,0
22,10,9,9,29,49,0
25,24,10,5,18,53,1
4,30,3,22,18,9,0
3,12,30,27,11,44,1
8,13,17,19,3,15,0
1,17,20,1,19,46,0
13,19,4,27,2,50,1
29,7,15,9,19,6,0
25,7,10,3,7,37,0
13,26,2,28,21,23,1
5,11,11,21,4,45,0
3,26,4,22,26,9,0
26,9,28,2,3,20,0
16,3,11,3,29,16,1
2,14,2,30,22,28,0
1,29,21,8,20,22,1
21,2,22,18,9,40,1
21,29,30,19,11,10,0
19,20,1,26,1,26,1
27,28,5,9,10,2,0
29,27,7,26,9,2,0
2,24,9,2,22,58,0
11,7,14,19,21,3,0
17,11,16,5,30,45,0
26,17,29,13,3,38,0
16,24,27,30,15,34,0
30,24,12,6,30,79,0
17,25,19,15,19,88,0
2,19,30,22,7,26,1
8,24,10,2,18,28,1
21,29,2,20,22,70,1
13,19,1,30,15,50,1
12,5,20,21,27,83,0
11,29,17,3,3,34,1
28,18,12,19,14,62,0
5,3,26,27,7,53,1
24,1,22,10,9,57,1
5,10,19,5,14,1,0
30,14,11,10,20,9,0
23,20,18,4,27,15,0
9,1,21,30,20,46,0
3,18,1,22,2,28,1
26,26,8,28,25,41,0
8,20,26,28,15,27,0
20,19,18,2,9,20,1
19,16,20,17,7,61,0
4,7,18,16,22,9,0
25,10,13,19,25,11,0
7,24,5,3,12,40,0
30,16,19,1,16,38,0
22,23,28,8,8,12,0
9,4,15,23,27,16,0
10,14,15,1,5,43,0
26,27,8,1,6,49,0
4,1,11,24,7,45,0
19,28,12,6,22,33,0
21,11,27,18,18,69,0
16,23,14,17,4,57,1
12,2,8,1,1,9,1
23,11,26,20,9,86,0
27,7,21,10,16,8,0
15,21,15,16,28,94,0
16,18,28,25,6,17,0
4,22,3,30,9,22,1
29,14,9,4,20,10,0
25,8,23,24,14,20,0
22,17,18,7,24,80,0
30,29,13,7,22,89,0
24,5,10,29,24,88,0
8,23,30,28,9,31,1
15,10,7,30,27,14,0
29,30,10,16,28,53,0
26,5,22,14,12,68,0
16,20,15,11,26,78,0
17,2,3,25,8,2,1
3,28,1,24,15,20,0
7,29,30,11,12,38,0
19,21,17,26,26,29,0
30,18,15,5,10,23,1
8,13,18,20,21,11,0
30,23,15,8,20,19,0
14,1,16,5,4,13,0
10,21,23,28,1,27,0
27,27,12,30,21,100,0
11,27,15,16,11,14,0
21,19,21,7,27,36,0
26,13,7,9,10,34,0
28,15,2,28,2,23,0
27,4,18,15,18,74,0
23,19,1,14,26,35,0
2,22,18,11,2,54,0
7,16,8,29,12,65,1
2,26,15,5,14,22,1
6,9,3,18,16,21,1
12,15,25,1,9,28,1
29,1,12,5,9,17,1
14,23,10,26,27,7,0
13,18,27,19,2,73,0
23,30,14,13,16,29,1
22,27,8,25,4,74,1
28,23,28,3,14,96,1
11,14,6,12,23,33,0
22,21,23,17,10,13,0
1,21,18,22,10,70,0
30,2,13,3,23,32,1
8,14,7,3,8,21,1
14,15,19,11,13,58,1
25,6,30,1,22,74,0
11,22,6,6,26,61,0
6,27,12,4,21,68,0
17,3,26,20,10,41,0
29,6,1,11,20,12,1
30,5,6,4,5,10,1
11,20,5,26,14,67,0
24,18,5,30,30,34,0
26,2,10,23,6,43,0
28,14,11,10,22,29,0
17,11,15,26,7,70,0
16,7,30,4,25,59,1
16,18,7,29,3,2,0
2,8,2,22,9,43,1
1,2,9,16,20,24,0
19,25,21,3,6,34,1
13,28,22,2,12,24,1
12,14,5,28,4,27,0
28,21,10,30,27,75,0
17,3,10,11,17,46,0
19,4,15,30,23,72,1
1,14,23,8,18,27,1
9,18,7,17,16,16,1
10,25,30,2,4,18,0
18,8,6,13,20,33,1
10,3,7,11,18,4,0
1,12,17,15,9,19,0
27,30,15,17,27,66,0
11,5,29,21,28,50,1
19,2,26,15,29,16,0
28,2,8,14,11,56,0
6,20,12,15,2,26,1
13,27,16,14,24,24,1
12,17,13,6,6,21,0
13,30,4,26,18,91,1
15,30,30,24,11,72,0
5,29,16,24,23,22,0
24,25,2,9,14,33,1
8,13,17,20,16,53,1
8,25,11,7,21,6,0
14,27,2,16,7,9,1
20,3,20,24,25,10,0
5,14,14,6,4,40,0
15,11,18,13,14,63,0
11,1,5,6,25,21,0
3,19,1,9,26,31,1
14,19,9,13,8,56,0
30,26,7,26,22,61,0
28,22,14,11,2,49,1
3,12,19,14,7,47,0
21,19,9,29,28,28,1
23,11,8,2,16,34,1
20,12,30,20,7,57,1
16,7,24,22,10,39,1
10,4,10,14,29,21,0
11,29,21,20,6,18,0
27,10,5,4,21,56,0
21,18,2,9,28,68,0
10,30,8,15,17,16,0
18,3,12,4,20,49,0
22,30,23,17,2,15,0
21,19,30,13,23,14,0
9,1,23,14,13,59,1
30,19,10,28,11,68,1
19,7,26,9,21,4,0
14,6,5,21,10,34,0
1,27,3,11,30,48,0
8,21,14,19,30,1,0
27,11,30,27,27,31,0
7,29,14,2,12,5,0
6,4,14,26,19,26,1
25,1,15,10,23,54,0
29,17,14,7,13,33,0
10,9,16,12,8,49,0
22,7,18,2,28,52,1
15,2,16,3,4,16,1
4,3,21,3,3,11,0
14,9,19,6,27,3,0
27,20,6,18,30,36,1
18,22,27,10,22,42,0
6,9,28,23,18,7,0
20,20,28,28,4,99,0
17,9,10,24,10,4,0
17,21,3,19,24,5,0
2,8,9,28,22,2,1
12,27,11,16,5,46,0
6,2,16,8,7,37,1
2,14,17,28,22,36,1
21,27,9,19,24,8,0
10,15,6,17,4,14,1
16,24,25,21,3,43,1
16,10,12,1,28,35,0
20,27,10,4,9,32,0
7,13,9,10,13,46,0
15,12,2,18,13,8,0
14,10,23,7,9,1,0
18,10,21,10,30,41,1
12,16,1,11,29,13,1
24,13,30,20,26,17,0
23,5,22,21,29,60,0
3,25,16,13,4,54,1
5,17,21,25,19,62,1
19,25,28,15,13,67,0
17,10,28,15,11,37,0
25,27,15,25,19,100,0
23,27,28,29,7,64,1
12,16,9,27,10,62,1
8,4,28,7,13,55,0
8,6,24,17,13,52,0
22,30,12,5,22,35,1
17,13,16,24,2,39,1
24,7,5,25,25,27,0
26,16,26,26,12,95,0
8,21,7,11,24,6,0
30,4,1,6,30,14,0
2,13,5,21,8,15,1
21,20,12,9,23,58,0
27,25,30,15,15,16,0
27,28,27,12,26,42,0
9,5,27,20,1,42,1
8,14,12,17,20,31,1
29,10,19,1,2,57,0
1,10,15,18,3,2,0
21,11,5,10,9,8,0
23,11,25,1,23,40,0
19,16,9,12,11,13,0
23,10,19,23,8,30,0
22,1,28,13,17,11,0
4,16,7,15,21,16,1
9,15,17,5,12,13,0
6,21,13,28,14,63,1
22,7,17,16,17,27,0
25,26,22,1,23,96,1
19,14,19,1,1,40,1
19,30,2,1,24,35,0
4,15,15,26,30,19,1
7,7,20,2,7,6,0
23,30,1,24,13,60,1
7,6,20,7,5,41,0
1,3,28,15,15,16,1
15,9,27,22,29,25,0
13,13,8,15,23,19,0
10,2,21,4,24,5,0
10,29,25,7,14,80,0
24,27,12,11,2,4,0
27,19,15,6,25,50,1
5,12,29,7,2,15,0
1,5,28,5,2,6,1
20,14,27,10,11,78,0
24,19,5,21,20,17,0
20,17,13,26,6,69,1
26,26,28,23,23,9,0
10,12,4,24,9,35,1
19,13,12,30,30,70,0
7,21,11,5,13,39,1
22,23,29,28,22,116,0
5,9,10,18,21,54,1
8,14,26,26,19,69,0
9,1,24,11,14,9,1
20,8,5,16,24,52,1
28,22,6,15,2,38,0
1,12,3,4,15,14,0
17,22,2,6,7,29,1
3,12,4,11,15,19,1
20,23,10,10,20,26,0
27,21,22,12,14,42,0
9,16,7,30,29,47,0
8,5,29,11,25,60,0
26,2,25,7,10,23,0
20,19,6,12,23,51,1
6,21,14,5,6,47,1
3,2,15,12,22,51,1
13,21,14,28,12,74,1
30,16,15,24,13,9,0
8,10,6,3,10,29,1
5,7,25,4,20,30,1
2,13,27,30,15,29,1
14,22,11,18,22,72,0
24,26,20,28,16,30,0
20,1,17,11,18,1,1
8,10,2,21,23,16,0
30,30,3,13,14,81,0
30,20,24,11,2,6,0
4,14,22,26,9,74,0
15,30,17,21,13,95,0
30,12,11,29,30,110,0
20,25,2,13,8,5,0
21,27,20,19,7,54,1
